id,year,CACODE,candi_number,name_chi,alias_chi,name_eng,alias_eng,gender,age,estimated_birth,occupation,win_or_not,uncontested_or_not,political_affiliation,camp,votes,percentage
1957_譚國僑,1999,F15,,譚國僑,,,,男,42,1957,全職區議員,Y,,民協,泛,1548,85.4
1955_任紹偉,1999,F16,,任紹偉,,,,男,44,1955,工程顧問,N,,民主黨,泛,680,20.2
1956_陳裕榮,1999,F16,,陳裕榮,,,,男,43,1956,營業主任,N,,民協,泛,1069,31.8
1968_陳偉明,1999,F16,,陳偉明,,,,男,31,1968,地區統籌主任,Y,,民建聯,建,1595,47.4
1963_符偉樂,1999,F17,,符偉樂,,,,男,36,1963,全議員,N,,民主黨,泛,849,19.9
1960_陳人鑑,1999,F17,,陳人鑑,,,,男,39,1960,勞工服務工作者,N,,民協,泛,1558,36.5
1958_符樹雲,1999,F17,,符樹雲,,,,男,41,1958,行政人員,Y,,民建聯,建,1834,43
1966_甄啟榮,1999,F18,,甄啟榮,,,,男,33,1966,全職議員,Y,,民協,泛,2690,73.3
1960_黃尉聰,1999,F18,,黃尉聰,,,,男,39,1960,社區幹事,N,,民建聯,建,965,26.3
1957_梁錦滔,1999,F19,,梁錦滔,,,,男,42,1957,社工,Y,,民協,泛,1294,65.7
1964_梁錦培,1999,F19,,梁錦培,,,,男,35,1964,消防工程,N,,民建聯,建,660,33.5
1941_王桂雲,1999,F20,,王桂雲,,,,女,58,1941,全職區議員,Y,,民協,泛,1909,72.1
1976_朱嘉鳴,1999,F20,,朱嘉鳴,,,,女,23,1976,議員助理,N,,民建聯,建,718,27.1
1953_馮檢基,1999,F21,,馮檢基,,,,男,46,1953,港大通識教育統籌主任,Y,Uncontested,民協,泛,,
1954_陸偉綱,1999,G01,,陸偉綱,,,,男,45,1954,公司執行董事,N,,,其他,1118,39.6
1972_莫嘉嫻,1999,G01,,莫嘉嫻,,,,女,27,1972,社區幹事,Y,,民協,泛,1687,59.8
1957_潘志文,1999,G02,,潘志文,,,,男,42,1957,工程技術員,N,,,泛,482,28.9
1943_尹才榜,1999,G02,,尹才榜,,,,男,56,1943,社會服務行政人員,Y,,民建聯,建,1175,70.6
1948_李蓮,1999,G03,,李蓮,,,,女,51,1948,公司經理,Y,,,其他,1418,66.7
1952_陳麗君,1999,G03,,陳麗君,,,,女,47,1952,社區幹事,N,,民主黨,泛,694,32.6
1940_鄧寶匡,1999,G04,,鄧寶匡,,,,男,59,1940,校長,Y,Uncontested,港進聯,建,,
1965_蔡麗玲,1999,G05,,蔡麗玲,,,,女,34,1965,議員助理,N,,民主黨,泛,1304,41.8
1953_王紹爾,1999,G05,,王紹爾,,,,男,46,1953,行政管理人員,Y,,港進聯,建,1799,57.6
1948_伍精民,1999,G06,,伍精民,,,,男,51,1948,行政總裁,Y,Uncontested,,其他,,
1949_陳景煌,1999,G07,,陳景煌,,,,男,50,1949,全職議員,Y,,,建,956,49.1
1955_甄為堅,1999,G07,,甄為堅,甄頌天,,,男,44,1955,商人,N,,,其他,171,8.7
1960_陳健成,1999,G07,,陳健成,,,,男,39,1960,資訊管理顧問,N,,民主黨,泛,809,41.5
1955_林月秀,1999,G08,,林月秀,,,,女,44,1955,教育學院導師,N,,一二三,泛,491,32.9
1965_黃以謙,1999,G08,,黃以謙,,,,男,34,1965,醫生,Y,,自由黨,建,984,66
1968_劉美珍,1999,G09,,劉美珍,,,,女,31,1968,研究生／社工,N,,港進聯,建,511,33.4
1954_何顯明,1999,G09,,何顯明,,,,男,45,1954,工程經理,Y,,自由黨,建,993,64.9
1943_李華南,1999,G10,,李華南,,,,男,56,1943,義工,N,,,其他,416,25.3
